review,customer_ID,Date,taste,taste_score,amount,amount_score,delivery,delivery_score,menu,Selected_Menu
배달도 빠르고 양도 많고 너무 맛있게 잘 먹었습니다,pi**님,2024년 4월 16일,맛,5,양,5,배달,0,"패밀리 실속 세트（메뉴3＋튀김1＋음료2）/1(도로시 패밀리 메뉴1） [ 선택 ](＋담백 도로시 크림파스타（맵기x）),도로시 패밀리 메뉴1 맵기 [선택](기본]),도로시 패밀리 메뉴2） [ 선택 ](＋（인기）쉬림프 알리오올리오),도로시 패밀리 메뉴2 맵기 [선택](1단계]),도로시 패밀리 메뉴3） [ 선택 ](＋쉬림프&베이컨 로제파스타),도로시 패밀리 메뉴3 맵기 [선택](1단계]),도로시 패밀리 튀김 [선택](＋패밀리 튀김 [1] （치킨너겟7＋치킨텐더4）),도로시 패밀리 음료 [선택](펩시 제로 ＋ 펩시 제로),피클O／X(피클O))","쉬림프&베이컨 로제파스타, 쉬림프 알리오올리오, 치킨너겟, 치킨텐더"
후루룩 잘 들어가요! 새우토핑 꼭 추가ㅎㅎ,tj**님,2024년 4월 15일,맛,5,양,5,배달,0,"쉬림프&베이컨 로제파스타/1(맵기조절 선택（2）(＋1단계] 신라면 맵기),토핑 옵션 추가선택(＋[[인기]]Grilled왕새우4개（토핑）),피클O／X(피클X))",쉬림프&베이컨 로제파스타
저번에 맛있어서 또 시켜먹었습니다 물가가 비싸져서 양이 조금 줄어든것만 빼고는 저번처럼 맛있게 먹었습니다 감사합니다,pr**님,2024년 4월 15일,맛,5,양,5,배달,0,"둘이서 실속 콤보（메뉴2＋사이드1）/1(서비스 메뉴 추가선택(＋（제공） 한입 포테이토 샐러드),둘이서 콤보 메뉴 선택1(＋베이컨 토마토 파스타),메뉴1） 맵기 선택(＋기본]),둘이서 콤보 메뉴 선택2(＋미트소스 파스타),메뉴2） 맵기 선택(＋기본]),（세트）사이드메뉴 선택1(＋달달 고구마튀김3개),피클O／X(피클O))","미트소스 파스타, 포테이토 샐러드, 고구마튀김"
해장파스타는 진리지요. 필라프도 맛있게 잘먹었습니다,sp**님,2024년 4월 15일,맛,5,양,5,배달,0,"둘이서 실속 콤보（메뉴2＋사이드1）/1(서비스 메뉴 추가선택(＋（제공）모닝빵＋딸기쨈),서비스 메뉴 추가선택(＋（제공） 한입 포테이토 샐러드),둘이서 콤보 메뉴 선택1(＋속풀이해장 얼큰한 파스타),메뉴1） 맵기 선택(＋기본]),메뉴1） 추가선택(＋메뉴1）[[인기]]Grilled스테이크90g（토핑）),둘이서 콤보 메뉴 선택2(＋김치 베이컨 필라프),메뉴2） 맵기 선택(＋기본]),메뉴2） 추가선택(＋메뉴1）계란후라이 추가),（세트）사이드메뉴 선택1(＋버팔로윙4개),피클O／X(피클O))","포테이토 샐러드, 버팔로윙"
파스타는 항상 이곳에서만 먹습니다~~,sm**님,2024년 4월 15일,맛,5,양,5,배달,0,"[ 강력추천 ] 쉬림프 알리오올리오/1(맵기조절 선택（2）(＋기본),피클O／X(피클O)),[ 강력추천 ]투움바 크림리조또/1(맵기조절 선택（2）(＋기본),피클O／X(피클O)),속풀이얼큰 파스타 （기본매콤）/1(맵기조절 선택（2）(＋기본),피클O／X(피클O))","쉬림프 알리오올리오, 속풀이얼큰 파스타, 투움바 크림리조또"
감사히 잘 먹었습니다.,p5**님,2024년 4월 14일,맛,5,양,5,배달,0,"둘이서 실속 콤보（메뉴2＋사이드1）/1(서비스 메뉴 추가선택(＋（제공）모닝빵＋딸기쨈),서비스 메뉴 추가선택(＋（제공） 한입 포테이토 샐러드),둘이서 콤보 메뉴 선택1(＋쉬림프&베이컨 로제 파스타),메뉴1） 맵기 선택(＋1단계] 신라면 맵기),둘이서 콤보 메뉴 선택2(＋（중독）매콤 도로시 크림파스타),메뉴2） 맵기 선택(＋기본]),（세트）사이드메뉴 선택1(＋육즙가득 통소세지（＋케찹）),피클O／X(피클O))","육즙가득 통소세지, 포테이토 샐러드"
맛있어요 고기토핑 꼭 하세요! 로제는 치즈맛이 많이 나는 편이에요 저는 전에 먹었던 미트소스가 더 입맛에 맞는듯 감사히 잘먹었슴다,k.**님,2024년 4월 14일,맛,4,양,5,배달,0,"둘이서 실속 콤보（메뉴2＋사이드1）/1(서비스 메뉴 추가선택(＋（제공） 한입 포테이토 샐러드),둘이서 콤보 메뉴 선택1(＋쉬림프&베이컨 로제 파스타),메뉴1） 맵기 선택(＋기본]),메뉴1） 추가선택(＋메뉴1）육즙가득 통 소세지（토핑）),둘이서 콤보 메뉴 선택2(＋김치 베이컨 필라프),메뉴2） 맵기 선택(＋2단계] 불닭볶음면 맵기),메뉴2） 추가선택(＋메뉴1）[[인기]]Grilled스테이크90g（토핑）),메뉴2） 추가선택(＋메뉴1）계란후라이 추가),（세트）사이드메뉴 선택1(＋버팔로윙2개＋치킨가라아게2개),피클O／X(피클O))","포테이토 샐러드, 버팔로윙, 가라아게"
맛있게 잘 먹었어요ㅎ,th**님,2024년 4월 14일,맛,5,양,5,배달,0,"패밀리 실속 세트（메뉴3＋튀김1＋음료2）/1(도로시 패밀리 메뉴1） [ 선택 ](＋베이컨 토마토 파스타),도로시 패밀리 메뉴1 맵기 [선택](기본]),도로시 패밀리 메뉴2） [ 선택 ](＋（인기）투움바 파스타),도로시 패밀리 메뉴2 맵기 [선택](기본]),도로시 패밀리 메뉴3） [ 선택 ](＋（인기）매콤 도로시 크림파스타),도로시 패밀리 메뉴3 맵기 [선택](기본]),도로시 패밀리 튀김 [선택](＋육즙가득 통 소세지 2개 ＋ 감자튀김),도로시 패밀리 음료 [선택](밀키스 ＋ 환타 파인),피클O／X(피클O))","투움바 파스타, 감자튀김"
맛있게 잘 먹었습니다 또 시킬게요 ♡,cs**님,2024년 4월 14일,맛,5,양,5,배달,0,"둘이서 만찬 세트（스테이크1＋메뉴1＋음료1）/1(메뉴 선택(＋쉬림프&베이컨 크림리조또),맵기조절 선택（2）(＋3단계] 너~무매워),서비스 메뉴 추가선택(＋（제공） 모닝빵＋딸기잼),서비스 메뉴 추가선택(＋（제공） 한입 포테이토 샐러드),스테이크 선택(＋폭립 & 감자튀김),음료 선택(＋코카콜라355mL),피클O／X(피클O))","쉬림프&베이컨 크림리조또, 포테이토 샐러드, 감자튀김"
듀로시파스타는맛잇네오,se**님,2024년 4월 13일,맛,5,양,5,배달,0,"둘이서 실속 콤보（메뉴2＋사이드1）/1(서비스 메뉴 추가선택(＋（제공） 모닝빵＋딸기잼),서비스 메뉴 추가선택(＋（제공） 한입 단호박 샐러드),둘이서 콤보 메뉴 선택1(＋미트소스 파스타),메뉴1） 맵기 선택(＋1단계] 신라면 맵기),둘이서 콤보 메뉴 선택2(＋우삼겹 필라프),메뉴2） 맵기 선택(＋1단계] 신라면 맵기),（세트）사이드메뉴 선택1(＋육즙가득 통소세지（＋케찹）),피클O／X(피클X))","육즙가득 통소세지, 미트소스 파스타, 우삼겹 필라프, 단호박 샐러드"
맛있었어요,in**님,2024년 4월 11일,맛,5,양,5,배달,0,"치킨마요 필라프/2(맵기조절 선택（2）(＋1단계] 신라면 맵기),서비스 메뉴 추가선택(＋（제공）모닝빵＋딸기쨈),피클O／X(피클O)),＋새우튀김 4개（＋스윗칠리 소스）/1","치킨마요 필라프, 새우튀김"
맛있게 잘 먹었습니다??,kw**님,2024년 4월 10일,맛,5,양,5,배달,0,"둘이서 실속 콤보（메뉴2＋사이드1）/1(서비스 메뉴 추가선택(＋（제공）모닝빵＋딸기쨈),서비스 메뉴 추가선택(＋（제공） 모닝빵＋딸기잼),둘이서 콤보 메뉴 선택1(새우 비스크소스 파스타),메뉴1） 맵기 선택(＋기본]),둘이서 콤보 메뉴 선택2(＋쉬림프 알리오올리오),메뉴2） 맵기 선택(＋기본]),（세트）사이드메뉴 선택1(＋[[인기]]감자튀김（＋케찹）),피클O／X(피클O))","새우 비스크소스 파스타, 쉬림프 알리오올리오, 감자튀김"
감사합니다 감사합니다,-_**님,2024년 4월 10일,맛,5,양,5,배달,0,"둘이서 실속 콤보（메뉴2＋사이드1）/1(서비스 메뉴 추가선택(＋（제공） 한입 포테이토 샐러드),서비스 메뉴 추가선택(＋（제공） 한입 단호박 샐러드),둘이서 콤보 메뉴 선택1(＋（중독）매콤 도로시 크림파스타),메뉴1） 맵기 선택(＋3단계] 너~무매워),둘이서 콤보 메뉴 선택2(＋쉬림프&베이컨 필라프),메뉴2） 맵기 선택(＋2단계] 불닭볶음면 맵기),（세트）사이드메뉴 선택1(＋달달 고구마튀김3개),피클O／X(피클O))","쉬림프&베이컨 필라프, 포테이토 샐러드, 단호박 샐러드, 고구마튀김"
